Online Specific Article Details_PRO GOLD,,,,,,,Max Discount Range,,,,,,, Drive Link,Image 1,Image 2,Image3,Image4,Production URL
Sr No,Brand,Name Of Product,MRP,Tax,After Tax val,MRP,,Selling price ,Category,GST,size ,Product Description,How to Use,,,,,,Production URL
1,PRO ,PRO GOLD  Shoe Cream -Neutral 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,https://drive.google.com/drive/folders/11_5H3NJHuW6n9x6LPICNK5xorslf4wvf,OW4A9731.JPG,OW4A9729.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
2,PRO ,PRO GOLD  Shoe Cream -Black 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9694.JPG,OW4A9698.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
3,PRO ,PRO GOLD  Shoe Cream -Light Brown 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9708.JPG,OW4A9709.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
4,PRO ,PRO GOLD  Shoe Cream -Medium Brown 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9687.JPG,OW4A9688.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
5,PRO ,PRO GOLD  Shoe Cream -Dark Brown 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9760.JPG,OW4A9763.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
6,PRO ,PRO GOLD  Shoe Cream -Tan 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9657.JPG,OW4A9659.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
7,PRO ,PRO GOLD  Shoe Cream -Cognac 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9726.JPG,OW4A9728.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
8,PRO ,PRO GOLD  Shoe Cream -Mahogany 45gm,299,45.5975,253,299,25%,293,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9735.JPG,OW4A9738.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
9,PRO ,PRO GOLD  Shoe Cream -Blue 45gm,349,53.2225,296,349,25%,342,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9673.JPG,OW4A9686.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
10,PRO ,PRO GOLD  Shoe Cream -White 45gm,349,53.2225,296,349,25%,342,Shoecare,18%,45g,Word Doc shared,Word Doc shared,,OW4A9752.JPG,OW4A9743.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream
11,PRO ,PRO GOLD  Shoe Cream With Applicator -Neutral,399,60.8475,338,399,37%,391,Shoecare,18%,50g,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A5115.JPG,OW4A9785.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream-with-applicator
12,PRO ,PRO GOLD  Shoe Cream With Applicator -Black,399,60.8475,338,399,37%,391,Shoecare,18%,50g,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A6930.JPG,OW4A9771.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream-with-applicator
13,PRO ,PRO GOLD  Shoe Cream With Applicator -Light Brown,399,60.8475,338,399,37%,391,Shoecare,18%,50g,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A6926.JPG,OW4A9792.JPG,,,https://shop.mvshoecare.com/products/pro-gold-color-shoe-cream-with-applicator
14,PRO ,PRO GOLD  Self Shine -Neutral,249,37.9725,211,249,28%,244,Shoecare,18%,75ml,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A5202.JPG,OW4A5203.JPG,,,https://shop.mvshoecare.com/products/pro-gold-shine-self-shine
15,PRO ,PRO GOLD  Self Shine -Black,249,37.9725,211,249,28%,244,Shoecare,18%,75ml,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A5197.JPG,OW4A9833.JPG,,,https://shop.mvshoecare.com/products/pro-gold-shine-self-shine
16,PRO ,PRO GOLD  Self Shine -Brown,249,37.9725,211,249,28%,244,Shoecare,18%,75ml,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A5184.JPG,OW4A5187.JPG,,,https://shop.mvshoecare.com/products/pro-gold-shine-self-shine
17,PRO ,PRO GOLD  Instant Shiner -Neutral,325,49.5625,275,325,28%,319,Shoecare,18%,,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A5151.JPG,OW4A5141.JPG,,,https://shop.mvshoecare.com/products/pro-gold-shine-instant-shine
18,PRO ,PRO GOLD  Instant Shiner -Black,325,49.5625,275,325,28%,319,Shoecare,18%,,Word Doc shared,Word Doc shared,https://we.tl/t-sf42U5kU6L2JhacZ,OW4A5157.JPG,OW4A5158.JPG,,,https://shop.mvshoecare.com/products/pro-gold-shine-instant-shine
19,PRO ,PRO GOLD  Instant Shiner -Brown,325,49.5625,275,325,28%,319,Shoecare,18%,,Word Doc shared,Word Doc shared,https://drive.google.com/drive/folders/11_5H3NJHuW6n9x6LPICNK5xorslf4wvf,OW4A9815.JPG,OW4A9818.JPG,,,https://shop.mvshoecare.com/products/pro-gold-shine-instant-shine
20,PRO ,PRO GOLD  Leather Moisturize -Neutral,425,64.8125,360,425,30%,417,Shoecare,18%,150ml,Word Doc shared,Word Doc shared,https://drive.google.com/drive/folders/11_5H3NJHuW6n9x6LPICNK5xorslf4wvf,OW4A9826.JPG,OW4A9829.JPG,,,https://shop.mvshoecare.com/products/pro-gold-care-leather-moisturizer
21,PRO ,PRO GOLD Power Sneaker Cleaner -Neutral,399,60.8475,338,399,14%,391,Shoecare,18%,150ml,Word Doc shared,Word Doc shared,,OW4A5165.JPG,OW4A5167.JPG,,,https://shop.mvshoecare.com/products/pro-gold-clean-power-cleaning-shampoo
22,PRO ,PRO GOLD Clean Power Cleaner(Cleaning Shampoo & Mini Brush) -Neutral,499,,,,25%,489,Shoecare,18%,,Word Doc shared,Word Doc shared,https://drive.google.com/drive/folders/11_5H3NJHuW6n9x6LPICNK5xorslf4wvf,OW4A9845.JPG,OW4A9863.JPG,,,https://shop.mvshoecare.com/products/pro-gold-sneaker-cleaning-kit-shampoo-mini-brush
23,PRO ,PRO GOLD Clean Sneaker Wipes-Pack of 30 -Neutral,599,,,,25%,587,Shoecare,18%,,Word Doc shared,Word Doc shared,https://drive.google.com/drive/folders/11_5H3NJHuW6n9x6LPICNK5xorslf4wvf,OW4A9879.JPG,OW4A9888.JPG,,,https://shop.mvshoecare.com/products/pro-gold-sneaker-wipes-pack-of-30
